secid,date,days,volatility,ticker,index_flag
101310,10/02/2020,547,0.317796,AMZN,0
101310,10/02/2020,730,0.355468,AMZN,0
101310,10/02/2020,1825,0.300379,AMZN,0
101310,10/05/2020,10,0.356956,AMZN,0
101310,10/05/2020,14,0.461339,AMZN,0
101310,10/05/2020,30,0.438903,AMZN,0
101310,10/05/2020,60,0.376914,AMZN,0
101310,10/05/2020,91,0.384908,AMZN,0
101310,10/05/2020,122,0.376248,AMZN,0
101310,10/05/2020,152,0.34448,AMZN,0
101310,10/05/2020,182,0.370148,AMZN,0
101310,10/05/2020,273,0.401652,AMZN,0
101310,10/05/2020,365,0.357626,AMZN,0
101310,10/05/2020,547,0.318228,AMZN,0
101310,10/05/2020,730,0.3557,AMZN,0
101310,10/05/2020,1825,0.300585,AMZN,0
101310,10/06/2020,10,0.39437,AMZN,0
101310,10/06/2020,14,0.414023,AMZN,0
101310,10/06/2020,30,0.440266,AMZN,0
101310,10/06/2020,60,0.382383,AMZN,0
101310,10/06/2020,91,0.388298,AMZN,0
101310,10/06/2020,122,0.378697,AMZN,0
101310,10/06/2020,152,0.348523,AMZN,0
101310,10/06/2020,182,0.373456,AMZN,0
101310,10/06/2020,273,0.403595,AMZN,0
101310,10/06/2020,365,0.359176,AMZN,0
101310,10/06/2020,547,0.319334,AMZN,0
101310,10/06/2020,730,0.356092,AMZN,0
101310,10/06/2020,1825,0.300841,AMZN,0
101310,10/07/2020,10,0.402519,AMZN,0
101310,10/07/2020,14,0.369633,AMZN,0
101310,10/07/2020,30,0.444203,AMZN,0
101310,10/07/2020,60,0.385219,AMZN,0
101310,10/07/2020,91,0.389385,AMZN,0
101310,10/07/2020,122,0.379459,AMZN,0
101310,10/07/2020,152,0.351166,AMZN,0
101310,10/07/2020,182,0.37502,AMZN,0
101310,10/07/2020,273,0.404688,AMZN,0
101310,10/07/2020,365,0.359809,AMZN,0
101310,10/07/2020,547,0.320128,AMZN,0
101310,10/07/2020,730,0.356553,AMZN,0
101310,10/07/2020,1825,0.301082,AMZN,0
101310,10/08/2020,10,0.379173,AMZN,0
101310,10/08/2020,14,0.371751,AMZN,0
101310,10/08/2020,30,0.41657,AMZN,0
101310,10/08/2020,60,0.380631,AMZN,0
101310,10/08/2020,91,0.384071,AMZN,0
101310,10/08/2020,122,0.378816,AMZN,0
101310,10/08/2020,152,0.349556,AMZN,0
101310,10/08/2020,182,0.375056,AMZN,0
101310,10/08/2020,273,0.404713,AMZN,0
101310,10/08/2020,365,0.359761,AMZN,0
101310,10/08/2020,547,0.320114,AMZN,0
101310,10/08/2020,730,0.356555,AMZN,0
101310,10/08/2020,1825,0.300965,AMZN,0
101310,10/09/2020,10,0.404695,AMZN,0
101310,10/09/2020,14,0.379779,AMZN,0
101310,10/09/2020,30,0.40955,AMZN,0
101310,10/09/2020,60,0.386896,AMZN,0
101310,10/09/2020,91,0.38842,AMZN,0
101310,10/09/2020,122,0.378753,AMZN,0
101310,10/09/2020,152,0.350346,AMZN,0
101310,10/09/2020,182,0.375374,AMZN,0
101310,10/09/2020,273,0.405653,AMZN,0
101310,10/09/2020,365,0.360773,AMZN,0
101310,10/09/2020,547,0.320931,AMZN,0
101310,10/09/2020,730,0.354177,AMZN,0
101310,10/09/2020,1825,0.301111,AMZN,0
101310,10/12/2020,10,0.445918,AMZN,0
101310,10/12/2020,14,0.422474,AMZN,0
101310,10/12/2020,30,0.427004,AMZN,0
101310,10/12/2020,60,0.403306,AMZN,0
101310,10/12/2020,91,0.393909,AMZN,0
101310,10/12/2020,122,0.384019,AMZN,0
101310,10/12/2020,152,0.357612,AMZN,0
101310,10/12/2020,182,0.371811,AMZN,0
101310,10/12/2020,273,0.40875,AMZN,0
101310,10/12/2020,365,0.36341,AMZN,0
101310,10/12/2020,547,0.323016,AMZN,0
101310,10/12/2020,730,0.354601,AMZN,0
101310,10/12/2020,1825,0.30189,AMZN,0
101310,10/13/2020,10,0.418156,AMZN,0
101310,10/13/2020,14,0.414189,AMZN,0
101310,10/13/2020,30,0.416997,AMZN,0
101310,10/13/2020,60,0.403029,AMZN,0
101310,10/13/2020,91,0.393584,AMZN,0
101310,10/13/2020,122,0.381771,AMZN,0
101310,10/13/2020,152,0.357555,AMZN,0
101310,10/13/2020,182,0.365594,AMZN,0
101310,10/13/2020,273,0.408405,AMZN,0
101310,10/13/2020,365,0.363418,AMZN,0
101310,10/13/2020,547,0.323017,AMZN,0
101310,10/13/2020,730,0.354249,AMZN,0
101310,10/13/2020,1825,0.301584,AMZN,0
101310,10/14/2020,10,0.440253,AMZN,0
101310,10/14/2020,14,0.444742,AMZN,0
101310,10/14/2020,30,0.426824,AMZN,0
101310,10/14/2020,60,0.40302,AMZN,0
101310,10/14/2020,91,0.393274,AMZN,0
101310,10/14/2020,122,0.38233,AMZN,0
101310,10/14/2020,152,0.359885,AMZN,0
101310,10/14/2020,182,0.367368,AMZN,0
101310,10/14/2020,273,0.409486,AMZN,0
101310,10/14/2020,365,0.364048,AMZN,0
101310,10/14/2020,547,0.323599,AMZN,0
101310,10/14/2020,730,0.354482,AMZN,0
101310,10/14/2020,1825,0.301732,AMZN,0
101310,10/15/2020,10,0.43841,AMZN,0
101310,10/15/2020,14,0.439848,AMZN,0
101310,10/15/2020,30,0.425692,AMZN,0
101310,10/15/2020,60,0.398796,AMZN,0
101310,10/15/2020,91,0.393591,AMZN,0
101310,10/15/2020,122,0.382539,AMZN,0
101310,10/15/2020,152,0.358544,AMZN,0
101310,10/15/2020,182,0.363306,AMZN,0
101310,10/15/2020,273,0.40962,AMZN,0
101310,10/15/2020,365,0.364172,AMZN,0
101310,10/15/2020,547,0.323682,AMZN,0
101310,10/15/2020,730,0.353823,AMZN,0
101310,10/15/2020,1825,0.301638,AMZN,0
101310,10/16/2020,10,0.407111,AMZN,0
101310,10/16/2020,14,0.420061,AMZN,0
101310,10/16/2020,30,0.422069,AMZN,0
101310,10/16/2020,60,0.401361,AMZN,0
101310,10/16/2020,91,0.394907,AMZN,0
101310,10/16/2020,122,0.383828,AMZN,0
101310,10/16/2020,152,0.358593,AMZN,0
101310,10/16/2020,182,0.363956,AMZN,0
101310,10/16/2020,273,0.410316,AMZN,0
101310,10/16/2020,365,0.364849,AMZN,0
101310,10/16/2020,547,0.324147,AMZN,0
101310,10/16/2020,730,0.35412,AMZN,0
101310,10/16/2020,1825,0.30167,AMZN,0
101310,10/19/2020,10,0.418329,AMZN,0
101310,10/19/2020,14,0.422412,AMZN,0
101310,10/19/2020,30,0.423878,AMZN,0
101310,10/19/2020,60,0.399037,AMZN,0
101310,10/19/2020,91,0.367309,AMZN,0
101310,10/19/2020,122,0.390061,AMZN,0
101310,10/19/2020,152,0.362584,AMZN,0
101310,10/19/2020,182,0.365281,AMZN,0
101310,10/19/2020,273,0.4101,AMZN,0
101310,10/19/2020,365,0.36504,AMZN,0
101310,10/19/2020,547,0.324202,AMZN,0
101310,10/19/2020,730,0.353908,AMZN,0
101310,10/19/2020,1825,0.301849,AMZN,0
101310,10/20/2020,10,0.384268,AMZN,0
101310,10/20/2020,14,0.383484,AMZN,0
101310,10/20/2020,30,0.413672,AMZN,0
101310,10/20/2020,60,0.399058,AMZN,0
101310,10/20/2020,91,0.365443,AMZN,0
101310,10/20/2020,122,0.387735,AMZN,0
101310,10/20/2020,152,0.360781,AMZN,0
101310,10/20/2020,182,0.362782,AMZN,0
101310,10/20/2020,273,0.409877,AMZN,0
101310,10/20/2020,365,0.364789,AMZN,0
101310,10/20/2020,547,0.32405,AMZN,0
101310,10/20/2020,730,0.353558,AMZN,0
101310,10/20/2020,1825,0.301792,AMZN,0
101310,10/21/2020,10,0.357901,AMZN,0
101310,10/21/2020,14,0.35747,AMZN,0
101310,10/21/2020,30,0.416309,AMZN,0
101310,10/21/2020,60,0.394849,AMZN,0
101310,10/21/2020,91,0.365154,AMZN,0
101310,10/21/2020,122,0.386012,AMZN,0
101310,10/21/2020,152,0.361167,AMZN,0
101310,10/21/2020,182,0.36277,AMZN,0
101310,10/21/2020,273,0.4101,AMZN,0
101310,10/21/2020,365,0.364746,AMZN,0
101310,10/21/2020,547,0.323859,AMZN,0
101310,10/21/2020,730,0.353526,AMZN,0
101310,10/21/2020,1825,0.300674,AMZN,0
101310,10/22/2020,10,0.160926,AMZN,0
101310,10/22/2020,14,0.357618,AMZN,0
101310,10/22/2020,30,0.373376,AMZN,0
101310,10/22/2020,60,0.390149,AMZN,0
101310,10/22/2020,91,0.357243,AMZN,0
101310,10/22/2020,122,0.385496,AMZN,0
101310,10/22/2020,152,0.359534,AMZN,0
101310,10/22/2020,182,0.362385,AMZN,0
101310,10/22/2020,273,0.410118,AMZN,0
101310,10/22/2020,365,0.364754,AMZN,0
101310,10/22/2020,547,0.323705,AMZN,0
101310,10/22/2020,730,0.353421,AMZN,0
101310,10/22/2020,1825,0.30056,AMZN,0
101310,10/23/2020,10,0.185889,AMZN,0
101310,10/23/2020,14,0.321942,AMZN,0
101310,10/23/2020,30,0.341717,AMZN,0
101310,10/23/2020,60,0.390397,AMZN,0
101310,10/23/2020,91,0.357349,AMZN,0
101310,10/23/2020,122,0.384612,AMZN,0
101310,10/23/2020,152,0.357963,AMZN,0
101310,10/23/2020,182,0.362489,AMZN,0
101310,10/23/2020,273,0.409808,AMZN,0
101310,10/23/2020,365,0.36472,AMZN,0
101310,10/23/2020,547,0.323761,AMZN,0
101310,10/23/2020,730,0.35071,AMZN,0
101310,10/23/2020,1825,0.300459,AMZN,0
101310,10/26/2020,10,0.164184,AMZN,0
101310,10/26/2020,14,0.175887,AMZN,0
101310,10/26/2020,30,0.340805,AMZN,0
101310,10/26/2020,60,0.39099,AMZN,0
101310,10/26/2020,91,0.356186,AMZN,0
101310,10/26/2020,122,0.386102,AMZN,0
